Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2412-il-100000
Airfoil,naca2412-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,50.0368
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2412-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.4676,0.09591,0.09056,-0.0237,1.0000,0.1755
-9.000,-0.6490,0.06371,0.05820,-0.0496,1.0000,0.1058
-8.750,-0.6415,0.05994,0.05441,-0.0485,1.0000,0.1028
-8.500,-0.6490,0.05536,0.04969,-0.0471,1.0000,0.1010
-8.250,-0.6597,0.05048,0.04453,-0.0453,1.0000,0.0998
-8.000,-0.6647,0.04615,0.03984,-0.0432,1.0000,0.0994
-7.750,-0.6640,0.04234,0.03564,-0.0410,1.0000,0.0995
-7.500,-0.6588,0.03888,0.03177,-0.0389,1.0000,0.0996
-7.250,-0.6495,0.03591,0.02836,-0.0369,1.0000,0.1001
-7.000,-0.6370,0.03353,0.02555,-0.0350,1.0000,0.1020
-6.750,-0.6223,0.03168,0.02319,-0.0332,1.0000,0.1043
-6.500,-0.6052,0.02943,0.02072,-0.0320,1.0000,0.1066
-6.250,-0.5859,0.02792,0.01913,-0.0308,1.0000,0.1094
-6.000,-0.5659,0.02665,0.01770,-0.0297,1.0000,0.1128
-5.750,-0.5454,0.02556,0.01633,-0.0285,1.0000,0.1179
-5.500,-0.5240,0.02425,0.01500,-0.0277,1.0000,0.1234
-5.250,-0.5023,0.02334,0.01401,-0.0267,1.0000,0.1303
-5.000,-0.4796,0.02227,0.01289,-0.0260,1.0000,0.1383
-4.750,-0.4571,0.02158,0.01212,-0.0253,1.0000,0.1505
-4.500,-0.4346,0.02090,0.01149,-0.0246,1.0000,0.1654
-4.250,-0.4122,0.02023,0.01097,-0.0241,1.0000,0.1829
-4.000,-0.3902,0.01975,0.01062,-0.0235,1.0000,0.2038
-3.750,-0.3680,0.01937,0.01030,-0.0229,1.0000,0.2293
-3.500,-0.3461,0.01903,0.01012,-0.0225,1.0000,0.2585
-3.250,-0.3240,0.01868,0.00996,-0.0221,1.0000,0.2943
-3.000,-0.3019,0.01831,0.00987,-0.0217,1.0000,0.3378
-2.750,-0.2753,0.01795,0.00982,-0.0222,0.9986,0.3943
-2.500,-0.2306,0.01757,0.00992,-0.0259,0.9915,0.4789
-2.250,-0.1869,0.01728,0.01014,-0.0291,0.9841,0.5825
-2.000,-0.1494,0.01704,0.01035,-0.0304,0.9748,0.6944
-1.750,-0.1161,0.01697,0.01065,-0.0302,0.9650,0.8044
-1.500,-0.0695,0.01716,0.01096,-0.0322,0.9578,0.9127
-1.250,0.0156,0.01742,0.01109,-0.0429,0.9534,0.9916
-1.000,0.0782,0.01739,0.01088,-0.0503,0.9458,1.0000
-0.750,0.1209,0.01732,0.01067,-0.0539,0.9330,1.0000
-0.500,0.1665,0.01724,0.01047,-0.0577,0.9215,1.0000
-0.250,0.2237,0.01701,0.01015,-0.0633,0.9139,1.0000
0.000,0.2623,0.01684,0.00991,-0.0654,0.9003,1.0000
0.250,0.3002,0.01665,0.00966,-0.0672,0.8869,1.0000
0.500,0.3370,0.01643,0.00939,-0.0685,0.8737,1.0000
0.750,0.3725,0.01619,0.00910,-0.0695,0.8606,1.0000
1.000,0.4063,0.01593,0.00881,-0.0699,0.8473,1.0000
1.250,0.4371,0.01571,0.00854,-0.0698,0.8332,1.0000
1.500,0.4637,0.01560,0.00838,-0.0689,0.8173,1.0000
1.750,0.4896,0.01553,0.00825,-0.0679,0.8011,1.0000
2.000,0.5150,0.01549,0.00816,-0.0668,0.7847,1.0000
2.250,0.5396,0.01550,0.00812,-0.0656,0.7678,1.0000
2.500,0.5637,0.01556,0.00813,-0.0643,0.7505,1.0000
2.750,0.5877,0.01565,0.00817,-0.0631,0.7331,1.0000
3.000,0.6117,0.01576,0.00823,-0.0618,0.7155,1.0000
3.250,0.6359,0.01588,0.00832,-0.0607,0.6979,1.0000
3.500,0.6601,0.01603,0.00843,-0.0595,0.6804,1.0000
3.750,0.6843,0.01620,0.00856,-0.0584,0.6628,1.0000
4.000,0.7087,0.01639,0.00871,-0.0573,0.6452,1.0000
4.250,0.7331,0.01659,0.00889,-0.0562,0.6275,1.0000
4.500,0.7575,0.01680,0.00906,-0.0551,0.6095,1.0000
4.750,0.7821,0.01697,0.00915,-0.0540,0.5902,1.0000
5.000,0.8043,0.01717,0.00935,-0.0525,0.5674,1.0000
5.250,0.8272,0.01736,0.00947,-0.0511,0.5447,1.0000
5.500,0.8503,0.01760,0.00963,-0.0498,0.5229,1.0000
5.750,0.8718,0.01787,0.00992,-0.0484,0.4990,1.0000
6.000,0.8941,0.01813,0.01008,-0.0470,0.4753,1.0000
6.250,0.9140,0.01840,0.01038,-0.0453,0.4478,1.0000
6.500,0.9336,0.01869,0.01064,-0.0436,0.4192,1.0000
6.750,0.9522,0.01903,0.01094,-0.0418,0.3879,1.0000
7.000,0.9695,0.01946,0.01129,-0.0398,0.3531,1.0000
7.250,0.9849,0.02006,0.01171,-0.0376,0.3145,1.0000
