Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ht05-il-50000
Airfoil,ht05-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,19.1774
Max Cl/Cd alpha,2.75
Url,http://airfoiltools.com/polar/csv?polar=xf-ht05-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.500,-0.6933,0.09726,0.09062,0.0385,1.0000,0.2748
-7.250,-0.6955,0.09383,0.08726,0.0374,1.0000,0.2874
-7.000,-0.6905,0.08997,0.08340,0.0371,1.0000,0.3020
-6.750,-0.6829,0.08605,0.07949,0.0376,1.0000,0.3179
-6.500,-0.6825,0.08300,0.07649,0.0365,1.0000,0.3412
-6.250,-0.6734,0.07941,0.07292,0.0390,1.0000,0.3695
-5.750,-0.6242,0.05143,0.04329,-0.0061,1.0000,0.1412
-5.500,-0.6037,0.04659,0.03810,-0.0069,1.0000,0.1399
-5.250,-0.5813,0.04186,0.03285,-0.0074,1.0000,0.1374
-5.000,-0.5568,0.03726,0.02760,-0.0077,1.0000,0.1347
-4.750,-0.5311,0.03361,0.02331,-0.0075,1.0000,0.1374
-4.500,-0.5060,0.03099,0.02034,-0.0070,1.0000,0.1490
-4.250,-0.4783,0.02815,0.01689,-0.0064,1.0000,0.1581
-4.000,-0.4523,0.02607,0.01471,-0.0057,1.0000,0.1763
-3.750,-0.4253,0.02409,0.01251,-0.0049,1.0000,0.2019
-3.500,-0.3990,0.02233,0.01077,-0.0041,1.0000,0.2427
-3.250,-0.3724,0.02049,0.00922,-0.0031,1.0000,0.3037
-3.000,-0.3470,0.01869,0.00798,-0.0019,1.0000,0.4042
-2.750,-0.3286,0.01713,0.00737,0.0012,1.0000,0.5604
-2.500,-0.2469,0.01476,0.00569,-0.0066,1.0000,1.0000
-2.250,-0.2219,0.01462,0.00511,-0.0062,1.0000,1.0000
-2.000,-0.1971,0.01452,0.00467,-0.0056,1.0000,1.0000
-1.750,-0.1725,0.01443,0.00431,-0.0050,1.0000,1.0000
-1.500,-0.1478,0.01436,0.00399,-0.0043,1.0000,1.0000
-1.250,-0.1232,0.01430,0.00375,-0.0036,1.0000,1.0000
-1.000,-0.0986,0.01425,0.00356,-0.0029,1.0000,1.0000
-0.750,-0.0739,0.01422,0.00342,-0.0022,1.0000,1.0000
-0.500,-0.0493,0.01419,0.00331,-0.0014,1.0000,1.0000
-0.250,-0.0246,0.01418,0.00325,-0.0007,1.0000,1.0000
0.000,0.0001,0.01417,0.00323,0.0000,1.0000,1.0000
0.250,0.0247,0.01418,0.00325,0.0007,1.0000,1.0000
0.500,0.0494,0.01419,0.00331,0.0014,1.0000,1.0000
0.750,0.0740,0.01422,0.00342,0.0022,1.0000,1.0000
1.000,0.0987,0.01425,0.00356,0.0029,1.0000,1.0000
1.250,0.1233,0.01430,0.00375,0.0036,1.0000,1.0000
1.500,0.1480,0.01436,0.00399,0.0043,1.0000,1.0000
1.750,0.1726,0.01443,0.00431,0.0050,1.0000,1.0000
2.000,0.1972,0.01452,0.00467,0.0056,1.0000,1.0000
2.250,0.2220,0.01462,0.00511,0.0062,1.0000,1.0000
2.500,0.2471,0.01476,0.00569,0.0066,1.0000,1.0000
2.750,0.3287,0.01714,0.00737,-0.0012,0.5596,1.0000
3.000,0.3471,0.01870,0.00798,0.0019,0.4038,1.0000
3.250,0.3725,0.02050,0.00922,0.0031,0.3035,1.0000
3.500,0.3991,0.02234,0.01077,0.0041,0.2426,1.0000
3.750,0.4255,0.02410,0.01252,0.0049,0.2018,1.0000
4.000,0.4524,0.02606,0.01470,0.0057,0.1760,1.0000
4.250,0.4785,0.02817,0.01691,0.0064,0.1581,1.0000
4.500,0.5061,0.03099,0.02034,0.0070,0.1488,1.0000
4.750,0.5313,0.03362,0.02333,0.0075,0.1372,1.0000
5.000,0.5570,0.03729,0.02763,0.0077,0.1348,1.0000
5.250,0.5815,0.04191,0.03291,0.0074,0.1376,1.0000
5.500,0.6039,0.04664,0.03816,0.0068,0.1399,1.0000
5.750,0.6243,0.05149,0.04337,0.0060,0.1412,1.0000
6.000,0.6683,0.07610,0.06965,-0.0408,0.4005,1.0000
6.250,0.6706,0.07918,0.07268,-0.0397,0.3682,1.0000
6.750,0.6833,0.08609,0.07953,-0.0376,0.3180,1.0000
7.000,0.6912,0.09002,0.08345,-0.0371,0.3021,1.0000
7.500,0.6940,0.09731,0.09068,-0.0385,0.2748,1.0000
7.750,0.6929,0.10089,0.09419,-0.0393,0.2638,1.0000
8.000,0.7013,0.10529,0.09856,-0.0388,0.2542,1.0000
8.250,0.7162,0.11028,0.10357,-0.0372,0.2416,1.0000
8.500,0.7003,0.11196,0.10514,-0.0405,0.2329,1.0000
8.750,0.7037,0.11596,0.10910,-0.0409,0.2240,1.0000
9.000,0.7166,0.12087,0.11401,-0.0396,0.2124,1.0000
9.250,0.7080,0.12302,0.11608,-0.0420,0.2039,1.0000
9.500,0.7148,0.12755,0.12059,-0.0421,0.1970,1.0000
