Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0009sm-il-1000000
Airfoil,n0009sm-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,74.7238
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.750,-0.9871,0.10108,0.09896,-0.0031,1.0000,0.0037
-15.500,-1.0438,0.08589,0.08362,-0.0109,1.0000,0.0035
-15.250,-1.0914,0.07218,0.06974,-0.0187,1.0000,0.0035
-15.000,-1.1223,0.06145,0.05885,-0.0258,1.0000,0.0035
-14.750,-1.1600,0.05005,0.04716,-0.0343,1.0000,0.0033
-14.500,-1.1752,0.04398,0.04090,-0.0384,1.0000,0.0032
-14.250,-1.1861,0.03952,0.03631,-0.0407,1.0000,0.0034
-14.000,-1.1989,0.03570,0.03229,-0.0412,1.0000,0.0033
-13.750,-1.2016,0.03340,0.02987,-0.0405,1.0000,0.0035
-13.500,-1.2067,0.03120,0.02753,-0.0386,1.0000,0.0035
-13.250,-1.2041,0.02981,0.02604,-0.0366,1.0000,0.0037
-13.000,-1.2065,0.02823,0.02432,-0.0334,1.0000,0.0037
-12.750,-1.2068,0.02695,0.02292,-0.0299,1.0000,0.0038
-12.500,-1.2016,0.02578,0.02164,-0.0270,1.0000,0.0039
-12.250,-1.1928,0.02464,0.02037,-0.0246,1.0000,0.0040
-12.000,-1.1821,0.02356,0.01916,-0.0224,1.0000,0.0042
-11.750,-1.1702,0.02252,0.01799,-0.0202,1.0000,0.0044
-11.500,-1.1545,0.02177,0.01713,-0.0185,1.0000,0.0046
-11.250,-1.1400,0.02088,0.01613,-0.0167,1.0000,0.0046
-11.000,-1.1227,0.02020,0.01537,-0.0151,1.0000,0.0047
-10.750,-1.1151,0.01853,0.01348,-0.0121,1.0000,0.0051
-10.500,-1.1003,0.01755,0.01238,-0.0101,1.0000,0.0056
-10.250,-1.0829,0.01681,0.01157,-0.0084,1.0000,0.0060
-10.000,-1.0642,0.01621,0.01090,-0.0069,1.0000,0.0065
-9.750,-1.0448,0.01566,0.01028,-0.0055,1.0000,0.0071
