Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,,,,
Polar key,xf-n0009sm-il-1000000,,,,,,,,
Airfoil,n0009sm-il,,,,,,,,
Reynolds number,1000000,,,,,,,,
Ncrit,9,,,,,,,,
Mach,0,,,,,,,,
Max Cl/Cd,74.7238,,,,,,,,
Max Cl/Cd alpha,8,,,,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-1000000,,,,,,,,
,,,,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr,Cpmin,Chinge,XCp
-27,-0.7785,0.3474,0.34601,0.1029,1,0.0041,-1.1788,0,0.359
-26.5,-0.7933,0.34942,0.34795,0.1004,1,0.0042,-1.2627,0,0.3534
-26,-0.8804,0.35923,0.35753,0.1001,1,0.0042,-1.5709,0,0.3384
-25.5,-0.8752,0.34931,0.34758,0.0966,1,0.0042,-1.5974,0,0.3359
-25,-0.8686,0.33946,0.33771,0.093,1,0.0042,-1.6218,0,0.3334
-24.5,-0.8609,0.32971,0.32794,0.0895,1,0.0042,-1.6452,0,0.331
-24,-0.8526,0.32007,0.31829,0.0859,1,0.0042,-1.6686,0,0.3286
-23.5,-0.8435,0.31055,0.30876,0.0824,1,0.0042,-1.6914,0,0.3262
-23,-0.834,0.30114,0.29935,0.0789,1,0.0042,-1.7144,0,0.3238
-22.5,-0.8239,0.29187,0.29005,0.0754,1,0.0042,-1.7381,0,0.3214
-22,-0.8135,0.28272,0.28089,0.0719,1,0.0042,-1.7632,0,0.319
-21.5,-0.8027,0.27371,0.27187,0.0684,1,0.0042,-1.7899,0,0.3165
-21,-0.7916,0.26482,0.26298,0.0649,1,0.0043,-1.8186,0,0.314
-20.5,-0.7803,0.25606,0.25421,0.0615,1,0.0043,-1.8488,0,0.3114
-20,-0.7689,0.24743,0.24558,0.0581,1,0.0043,-1.8819,0,0.3087
-19.5,-0.7573,0.23891,0.23707,0.0547,1,0.0043,-1.9184,0,0.3059
-19,-0.7458,0.23052,0.22867,0.0513,1,0.0043,-1.9591,0,0.3031
-18.5,-0.7416,0.21953,0.2177,0.0476,1,0.005,-2.2193,0,0.299
-18,-0.7291,0.21272,0.21089,0.0445,1,0.0052,-2.1354,0,0.2965
-17.5,-0.717,0.20581,0.20398,0.0413,1,0.0055,-2.0818,0,0.2936
-17,-0.7055,0.19882,0.19697,0.0381,1,0.0059,-2.0617,0,0.2905
-16.5,-0.6946,0.19181,0.18998,0.0348,1,0.0062,-2.0731,0,0.2872
-16,-0.685,0.18471,0.18289,0.0314,1,0.0064,-2.1374,0,0.2834
-15.5,-0.701,0.16615,0.16437,0.0258,1,0.0034,-3.563,0,0.2738
-14.5,-0.9522,0.0876,0.08562,-0.009,1,0.0026,-9.8136,0,0.225
-14,-1.0126,0.06596,0.06376,-0.0216,1,0.0026,-10.7129,0,0.2136
-13.5,-1.0572,0.04827,0.04572,-0.0353,1,0.0025,-11.2287,0,0.2025
-13,-1.0959,0.03774,0.03479,-0.0399,1,0.0025,-11.4649,0,0.2005
-12.5,-1.1277,0.03158,0.02819,-0.0353,1,0.0025,-11.5223,0,0.2065
-12,-1.1464,0.02723,0.02339,-0.0266,1,0.0024,-11.4049,0,0.2152
-11.5,-1.1415,0.02338,0.01906,-0.0202,1,0.0024,-11.043,0,0.2213
-11,-1.1226,0.02043,0.01568,-0.015,1,0.0024,-10.5301,0,0.2263
-10.5,-1.0953,0.01813,0.01301,-0.0106,1,0.0025,-9.9388,0,0.2306
-10,-1.062,0.0164,0.011,-0.0069,1,0.0028,-9.264,0,0.2345
-9.5,-1.025,0.01502,0.00942,-0.0037,1,0.0034,-8.5567,0,0.238
-9,-0.9839,0.01416,0.00847,-0.0011,1,0.0042,-7.7333,0,0.241
-8.5,-0.946,0.01289,0.00712,0.0022,1,0.0082,-7.0492,0,0.245
-8,-0.9048,0.01203,0.00626,0.0048,1,0.0151,-6.2734,0,0.2486
-7.5,-0.8617,0.01142,0.00562,0.0072,1,0.0196,-5.5145,0,0.2522
-7,-0.8181,0.01088,0.0051,0.0095,1,0.0247,-4.816,0,0.2559
-6.5,-0.773,0.01051,0.0047,0.0116,1,0.0267,-4.2466,0,0.2597
-6,-0.7299,0.00995,0.00413,0.014,1,0.0328,-3.7275,0,0.2645
