Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ht12-il-50000
Airfoil,ht12-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,21.2371
Max Cl/Cd alpha,2.75
Url,http://airfoiltools.com/polar/csv?polar=xf-ht12-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.7515,0.13577,0.12897,0.0533,1.0000,0.1908
-9.500,-0.7322,0.12961,0.12278,0.0551,1.0000,0.1993
-9.250,-0.7480,0.12828,0.12156,0.0512,1.0000,0.2049
-9.000,-0.7319,0.12287,0.11613,0.0528,1.0000,0.2171
-8.750,-0.7231,0.11836,0.11163,0.0531,1.0000,0.2265
-8.500,-0.7426,0.11714,0.11055,0.0487,1.0000,0.2331
-8.250,-0.7284,0.11212,0.10551,0.0501,1.0000,0.2461
-8.000,-0.7148,0.10714,0.10053,0.0511,1.0000,0.2557
-7.750,-0.7144,0.10342,0.09687,0.0502,1.0000,0.2654
-6.750,-0.7065,0.08877,0.08243,0.0456,1.0000,0.3188
-6.500,-0.6902,0.08452,0.07813,0.0487,1.0000,0.3391
-6.250,-0.6865,0.08093,0.07458,0.0482,1.0000,0.3628
-6.000,-0.6565,0.05913,0.05190,0.0027,1.0000,0.1613
-5.750,-0.6314,0.04945,0.04131,-0.0046,1.0000,0.1349
-5.500,-0.6082,0.04438,0.03581,-0.0061,1.0000,0.1339
-5.250,-0.5828,0.03948,0.03038,-0.0072,1.0000,0.1314
-5.000,-0.5554,0.03503,0.02519,-0.0080,1.0000,0.1308
-4.750,-0.5276,0.03159,0.02109,-0.0082,1.0000,0.1378
-4.500,-0.4997,0.02895,0.01802,-0.0080,1.0000,0.1484
-4.250,-0.4716,0.02640,0.01522,-0.0076,1.0000,0.1609
-4.000,-0.4446,0.02443,0.01321,-0.0071,1.0000,0.1850
-3.750,-0.4166,0.02251,0.01116,-0.0064,1.0000,0.2191
-3.500,-0.3901,0.02074,0.00963,-0.0056,1.0000,0.2763
-3.250,-0.3657,0.01904,0.00846,-0.0042,1.0000,0.3762
-3.000,-0.3444,0.01723,0.00741,-0.0020,1.0000,0.5140
-2.750,-0.3296,0.01551,0.00671,0.0026,1.0000,0.6746
-2.500,-0.2640,0.01412,0.00552,-0.0016,1.0000,1.0000
-2.250,-0.2375,0.01393,0.00482,-0.0020,1.0000,1.0000
-2.000,-0.2112,0.01380,0.00432,-0.0020,1.0000,1.0000
-1.750,-0.1849,0.01370,0.00393,-0.0018,1.0000,1.0000
-1.500,-0.1586,0.01361,0.00358,-0.0016,1.0000,1.0000
-1.250,-0.1322,0.01355,0.00332,-0.0014,1.0000,1.0000
-1.000,-0.1058,0.01350,0.00312,-0.0011,1.0000,1.0000
-0.750,-0.0794,0.01346,0.00297,-0.0008,1.0000,1.0000
-0.500,-0.0529,0.01343,0.00286,-0.0006,1.0000,1.0000
-0.250,-0.0264,0.01342,0.00278,-0.0003,1.0000,1.0000
0.000,0.0001,0.01341,0.00276,0.0000,1.0000,1.0000
0.250,0.0266,0.01342,0.00278,0.0003,1.0000,1.0000
0.500,0.0531,0.01343,0.00285,0.0006,1.0000,1.0000
0.750,0.0795,0.01346,0.00297,0.0008,1.0000,1.0000
1.000,0.1060,0.01350,0.00312,0.0011,1.0000,1.0000
1.250,0.1324,0.01355,0.00332,0.0014,1.0000,1.0000
1.500,0.1587,0.01361,0.00358,0.0016,1.0000,1.0000
1.750,0.1851,0.01370,0.00393,0.0018,1.0000,1.0000
2.000,0.2114,0.01380,0.00433,0.0020,1.0000,1.0000
2.250,0.2377,0.01393,0.00483,0.0020,1.0000,1.0000
2.500,0.2642,0.01412,0.00553,0.0015,1.0000,1.0000
2.750,0.3296,0.01552,0.00672,-0.0026,0.6736,1.0000
3.000,0.3446,0.01724,0.00742,0.0020,0.5128,1.0000
3.250,0.3658,0.01905,0.00847,0.0042,0.3756,1.0000
3.500,0.3903,0.02075,0.00964,0.0056,0.2760,1.0000
3.750,0.4168,0.02252,0.01118,0.0064,0.2188,1.0000
4.000,0.4448,0.02445,0.01322,0.0071,0.1848,1.0000
4.250,0.4718,0.02642,0.01524,0.0076,0.1608,1.0000
4.500,0.4999,0.02896,0.01804,0.0080,0.1483,1.0000
4.750,0.5278,0.03162,0.02112,0.0082,0.1378,1.0000
5.000,0.5556,0.03506,0.02522,0.0080,0.1307,1.0000
5.250,0.5830,0.03951,0.03041,0.0072,0.1313,1.0000
5.500,0.6084,0.04441,0.03584,0.0061,0.1338,1.0000
5.750,0.6316,0.04948,0.04133,0.0046,0.1349,1.0000
6.000,0.6556,0.05701,0.04955,0.0004,0.1507,1.0000
6.500,0.6906,0.08457,0.07817,-0.0488,0.3389,1.0000
6.750,0.7072,0.08884,0.08250,-0.0455,0.3186,1.0000
7.000,0.7174,0.09327,0.08691,-0.0449,0.3038,1.0000
7.250,0.7243,0.09740,0.09102,-0.0455,0.2896,1.0000
8.000,0.7153,0.10718,0.10057,-0.0512,0.2554,1.0000
8.250,0.7285,0.11213,0.10552,-0.0503,0.2460,1.0000
8.500,0.7431,0.11720,0.11060,-0.0489,0.2330,1.0000
8.750,0.7238,0.11842,0.11169,-0.0532,0.2263,1.0000
9.000,0.7325,0.12293,0.11619,-0.0529,0.2170,1.0000
9.250,0.7485,0.12833,0.12161,-0.0513,0.2048,1.0000
9.500,0.7329,0.12968,0.12285,-0.0553,0.1992,1.0000
9.750,0.7518,0.13578,0.12898,-0.0535,0.1907,1.0000
