Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2412-il-50000
Airfoil,naca2412-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,32.5356
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2412-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4124,0.09868,0.09109,-0.0085,1.0000,0.3526
-8.250,-0.4121,0.09574,0.08821,-0.0081,1.0000,0.3645
-7.750,-0.5569,0.07132,0.06409,-0.0348,1.0000,0.1944
-7.500,-0.5864,0.06278,0.05529,-0.0376,1.0000,0.1791
-7.250,-0.5842,0.05855,0.05097,-0.0368,1.0000,0.1769
-7.000,-0.5854,0.05412,0.04630,-0.0361,1.0000,0.1759
-6.750,-0.5839,0.04991,0.04175,-0.0352,1.0000,0.1761
-6.500,-0.5787,0.04598,0.03741,-0.0342,1.0000,0.1769
-6.250,-0.5695,0.04233,0.03327,-0.0332,1.0000,0.1780
-6.000,-0.5571,0.03904,0.02937,-0.0321,1.0000,0.1801
-5.750,-0.5390,0.03725,0.02771,-0.0308,1.0000,0.1865
-5.500,-0.5221,0.03502,0.02500,-0.0297,1.0000,0.1945
-5.250,-0.5027,0.03319,0.02312,-0.0286,1.0000,0.2026
-5.000,-0.4827,0.03140,0.02102,-0.0277,1.0000,0.2144
-4.750,-0.4620,0.03000,0.01947,-0.0267,1.0000,0.2296
-4.500,-0.4411,0.02879,0.01829,-0.0256,1.0000,0.2477
-4.250,-0.4199,0.02773,0.01724,-0.0246,1.0000,0.2698
-4.000,-0.3983,0.02669,0.01619,-0.0237,1.0000,0.2964
-3.750,-0.3765,0.02576,0.01532,-0.0228,1.0000,0.3281
-3.500,-0.3545,0.02487,0.01462,-0.0218,1.0000,0.3646
-3.250,-0.3320,0.02402,0.01394,-0.0209,1.0000,0.4107
-3.000,-0.3108,0.02326,0.01352,-0.0195,1.0000,0.4653
-2.750,-0.2902,0.02263,0.01326,-0.0179,1.0000,0.5330
-2.500,-0.2718,0.02208,0.01312,-0.0155,1.0000,0.6126
-2.250,-0.2578,0.02160,0.01314,-0.0116,1.0000,0.7057
-2.000,-0.2485,0.02133,0.01336,-0.0057,1.0000,0.8198
-1.750,-0.1469,0.02166,0.01342,-0.0186,1.0000,1.0000
-1.500,-0.1502,0.02143,0.01292,-0.0162,1.0000,1.0000
-1.250,-0.1389,0.02160,0.01282,-0.0154,1.0000,1.0000
-1.000,-0.1244,0.02191,0.01290,-0.0148,1.0000,1.0000
-0.750,-0.1086,0.02233,0.01312,-0.0144,1.0000,1.0000
-0.500,-0.0922,0.02284,0.01344,-0.0142,1.0000,1.0000
-0.250,-0.0756,0.02341,0.01387,-0.0140,1.0000,1.0000
0.000,-0.0589,0.02406,0.01437,-0.0139,1.0000,1.0000
0.250,-0.0109,0.02515,0.01529,-0.0196,0.9880,1.0000
0.500,0.0450,0.02630,0.01630,-0.0263,0.9727,1.0000
0.750,0.0927,0.02724,0.01713,-0.0315,0.9559,1.0000
1.000,0.1375,0.02810,0.01792,-0.0359,0.9390,1.0000
1.250,0.1811,0.02891,0.01867,-0.0399,0.9222,1.0000
1.500,0.2231,0.02966,0.01938,-0.0434,0.9055,1.0000
1.750,0.2633,0.03035,0.02005,-0.0464,0.8888,1.0000
2.000,0.3025,0.03099,0.02069,-0.0491,0.8722,1.0000
2.250,0.3408,0.03158,0.02130,-0.0514,0.8557,1.0000
2.500,0.3785,0.03212,0.02188,-0.0534,0.8391,1.0000
2.750,0.4157,0.03261,0.02241,-0.0552,0.8227,1.0000
3.000,0.4528,0.03304,0.02290,-0.0568,0.8062,1.0000
3.250,0.4905,0.03336,0.02329,-0.0582,0.7897,1.0000
3.500,0.5281,0.03358,0.02359,-0.0593,0.7732,1.0000
3.750,0.5639,0.03371,0.02382,-0.0598,0.7566,1.0000
4.000,0.5990,0.03375,0.02396,-0.0600,0.7398,1.0000
4.250,0.6342,0.03367,0.02400,-0.0599,0.7228,1.0000
4.500,0.6700,0.03344,0.02387,-0.0596,0.7056,1.0000
4.750,0.7067,0.03304,0.02359,-0.0591,0.6881,1.0000
5.000,0.7429,0.03256,0.02322,-0.0583,0.6701,1.0000
5.250,0.7613,0.03315,0.02391,-0.0562,0.6481,1.0000
5.500,0.7935,0.03277,0.02364,-0.0549,0.6273,1.0000
5.750,0.8345,0.03161,0.02252,-0.0537,0.6057,1.0000
6.000,0.8567,0.03159,0.02258,-0.0512,0.5785,1.0000
6.250,0.8858,0.03097,0.02197,-0.0490,0.5498,1.0000
6.500,0.9139,0.03048,0.02143,-0.0468,0.5195,1.0000
6.750,0.9384,0.03029,0.02118,-0.0444,0.4869,1.0000
7.000,0.9598,0.03027,0.02111,-0.0418,0.4512,1.0000
7.250,0.9816,0.03017,0.02079,-0.0391,0.4122,1.0000
7.500,0.9960,0.03062,0.02110,-0.0360,0.3698,1.0000
7.750,1.0111,0.03129,0.02146,-0.0330,0.3273,1.0000
8.000,1.0252,0.03245,0.02238,-0.0304,0.2889,1.0000
8.250,1.0412,0.03394,0.02364,-0.0282,0.2576,1.0000
8.500,1.0592,0.03571,0.02527,-0.0266,0.2334,1.0000
8.750,1.0779,0.03769,0.02726,-0.0252,0.2149,1.0000
9.000,1.0969,0.03979,0.02940,-0.0239,0.2003,1.0000
9.250,1.1165,0.04201,0.03167,-0.0229,0.1886,1.0000
9.500,1.1354,0.04445,0.03424,-0.0217,0.1797,1.0000
9.750,1.1471,0.04737,0.03747,-0.0200,0.1731,1.0000
10.000,1.1591,0.04997,0.04031,-0.0183,0.1663,1.0000
10.250,1.1743,0.05308,0.04351,-0.0172,0.1611,1.0000
10.500,1.1677,0.05686,0.04785,-0.0142,0.1591,1.0000
10.750,1.1563,0.06085,0.05228,-0.0113,0.1573,1.0000
11.000,1.1391,0.06510,0.05688,-0.0084,0.1562,1.0000
11.250,1.1121,0.06964,0.06171,-0.0054,0.1562,1.0000
11.500,1.0760,0.07509,0.06736,-0.0035,0.1575,1.0000
11.750,1.0357,0.08206,0.07449,-0.0039,0.1595,1.0000
12.000,1.0001,0.09021,0.08272,-0.0064,0.1613,1.0000
12.250,0.8261,0.12916,0.12142,-0.0343,0.1942,1.0000
12.500,0.8419,0.13272,0.12503,-0.0334,0.1921,1.0000
